Number,Name,Address1,Address2,Province,City,Postal,Latitude,Longitude
12,Calgary Sunridge,3014 Sunridge Blvd NE,Sunridge Corner,Alberta,Calgary,T1Y 7G7,51.0767862,-113.9917903
13,Calgary Macleod,6636 Macleod Trail SW,Chinook Station,Alberta,Calgary,T2H 0K6,50.9949143,-114.0714114
15,Calgary West,400 Stewart Green SW,Westhills Towne Centre,Alberta,Calgary,T3H 3C8,51.01554100000001,-114.17179
16,Calgary Heritage,33 Heritage Meadows Way SE,Unit 1120 Heritage Meadows Plaza,Alberta,Calgary,T2H 3B8,50.9825961,-114.0389059
17,Calgary Forest Lawn,5315 17 Avenue SE,Forest Hill Plaza,Alberta,Calgary,T2A 0W2,51.037342,-113.9569476
18,Calgary Crowfoot,30 Crowfoot Terrace NW,Crowfoot Crossing,Alberta,Calgary,T3G 4J8,51.1277796,-114.1990647
19,Calg Shawnessy,350 Shawville Blvd SE,Unit 240,Alberta,Calgary,T2Y 3S4,50.8987267,-114.0623537
20,Airdrie,202 Veterans Blvd NE,Unit 101,Alberta,Airdrie,T4B 3P2,51.3023456,-114.0060396
21,Edmonton South,10360 65 Avenue,null,Alberta,Edmonton,T6H 1T9,53.5023005,-113.4965427
22,Edmonton North West,9915 178 Street,West Point Mall,Alberta,Edmonton,T5T 6L8,53.5357256,-113.6241465
23,Edmonton East,4240 137 Avenue NW,null,Alberta,Edmonton,T5Y 2W7,53.5986457,-113.4079334
24,Sherwood Park,342 390 Baseline Road,null,Alberta,Sherwood Park,T8H 1X1,53.542277,-113.2993321
25,Edmonton White Oaks Square,12222 137 Avenue,Unit 121 White Oaks Square,Alberta,Edmonton,T5L 4X5,53.59988209999999,-113.5329363
26,Edmonton Store 26,1404 99 Street,South Edmonton Common,Alberta,Edmonton,T6N 0A8,53.4432814,-113.4859026
27,Camrose,120 6703 48 Avenue,null,Alberta,Camrose,T4V 3K3,53.0173475,-112.8576288
28,Okotoks,201 Southridge Drive,Unit 341 Cornerstone Okotoks,Alberta,Okotoks,T1S 2E1,50.7065834,-113.9748532
29,West Edmonton Mall,8882 170 Street NW,Unit 1100 West Edmonton Mall,Alberta,Edmonton,T5T 3J7,53.5224397,-113.6218728
30,Brooks,1060 2 Street W,Fairview Village Square Mall,Alberta,Brooks,T1R 0N8,50.5790596,-111.8952741
31,Red Deer,6320 50 Avenue,Unit 114 Village Mall,Alberta,Red Deer,T4N 4C6,52.2848333,-113.8156289
32,Lloydminster,4107 80 Avenue,Unit 113,Alberta,Lloydminster,T9V 0X9,53.27785,-110.0631239
33,Medicine Hat,1971 Strachan Road SE,null,Alberta,Medicine Hat,T1B 0G4,49.99516029999999,-110.6462585
34,Grande Prairie,9821 116 Street,null,Alberta,Grande Prairie,T8W 0C7,55.169474,-118.84701
35,Lethbridge,1240 2A Avenue N,Unit 41 Centre Village Mall,Alberta,Lethbridge,T1H 0E4,49.7010714,-112.8285548
36,Red Deer 2,2004 50 Avenue,Unit 147 Southpointe Common,Alberta,Red deer,T4R 3A2,52.2343991,-113.81691
37,Fort McMurray,19 Riedel Street,Unit 200 Clearwater Landing,Alberta,Fort McMurray,T9H 5P8,56.7226051,-111.3620546
38,Calgary Distribution,1035 64 Avenue SE,Unit 30,Alberta,Calgary,T2H 2J7,50.995405,-114.041563
41,Saskatoon West,300 Confederation Drive,Unit 1 Confederation Mall,Saskatchewan,Saskatoon,S7L 4R6,52.1328267,-106.7214497
42,Prince Albert,800 15 Street E,540 Cornerstone,Saskatchewan,Prince Albert,S6V 8E3,53.2006755,-105.7309843
44,Regina 1,3915 Rochdale Blvd,null,Saskatchewan,Regina,S4X 4P7,50.4963172,-104.6366657
46,Saskatoon SuperStore,1715 Preston Avenue N,Unit 101 Preston Crossing,Saskatchewan,Saskatoon,S7N 4V2,52.1482484,-106.6191317
47,Weyburn,1240 Sims Avenue,null,Saskatchewan,Weyburn,S4H 3N9,49.6626246,-103.877099
48,Surrey Delta,7908 120 Street,null,British Columbia,Surrey,V3W 3N2,49.1470083,-122.8882498
49,Kelowna,500 1500 Banks Road,Kelowna Central Park Power Cntre Phase 1,British Columbia,Kelowna,V1X 7Y1,49.8880184,-119.4279438
50,Calgary North Hill Mall,1632 14 Avenue NW,Unit 1658 North Hill Mall,Alberta,Calgary,T2N 1M7,51.06591,-114.0999491
